Player,Team,Pos
Carlos Santana,KCR,1B
Buster Posey,SFG,C
Kurt Suzuki,LAA,C
Yadier Molina,STL,C
Alex Avila,WAS,C
Albert Pujols,LAD,1B
Miguel Cabrera,DET,1B
Joey Votto,CIN,1B
Brandon Belt,SFG,1B
Freddie Freeman,ATL,1B
Mitch Moreland,OAK,DH
Jed Lowrie,OAK,2B
Ryan Zimmerman,WAS,1B
Pablo Sandoval,ATL,3B
Elvis Andrus,OAK,SS
Asdrubal Cabrera,ARI,3B
Alcides Escobar,WAS,2B
Nelson Cruz,TBR,DH
Jason Heyward,CHC,OF
Andrew McCutchen,PHI,OF
Brett Gardner,NYY,OF
Justin Upton,LAA,OF
Giancarlo Stanton,NYY,DH
Michael Brantley,HOU,OF
Gerardo Parra,WAS,OF
Matt Joyce,PHI,OF
Jarrod Dyson,KCR,OF
Justin Turner,LAD,3B
Josh Donaldson,MIN,3B
Rene Rivera,WAS,C
Eric Hosmer,SDP,1B
Jose Iglesias,LAA,SS
Brandon Crawford,SFG,SS
Josh Reddick,ARI,OF
Josh Harrison,WAS,OF
Matt Carpenter,STL,2B
Charlie Blackmon,COL,OF
Anthony Rizzo,CHC,1B
Kyle Seager,SEA,3B
Jose Altuve,HOU,2B
J.D. Martinez,BOS,DH
Manny Pina,MIL,C
Paul Goldschmidt,STL,1B
Salvador Perez,KCR,C
Martin Maldonado,HOU,C
Eduardo Escobar,ARI,3B
Michael Taylor,KCR,OF
Lorenzo Cain,MIL,OF
Stephen Vogt,ATL,C
Freddy Galvis,BAL,SS
Jason Castro,HOU,C
Bryce Harper,PHI,OF
Marwin Gonzalez,BOS,2B
A.J. Pollock,LAD,OF
Charlie Culberson,TEX,3B
Sandy Leon,MIA,C
Yan Gomes,WAS,C
Matt Adams,COL,1B
Kole Calhoun,ARI,OF
Jordy Mercer,WAS,SS
Yasmani Grandal,CHW,C
Andrelton Simmons,MIN,SS
Bryan Holaday,ARI,C
Donovan Solano,SFG,2B
Jean Segura,PHI,2B
Starling Marte,MIA,OF
Manny Machado,SDP,3B
Brock Holt,TEX,3B
Jurickson Profar,SDP,OF
Avisail Garcia,MIL,OF
Adam Eaton,LAA,OF
Rob Brantly,NYY,C
DJ LeMahieu,NYY,1B
Didi Gregorius,PHI,SS
Darin Ruf,SFG,1B
Rafael Ortega,CHC,OF
Leury Garcia,CHW,2B
Anthony Rendon,LAA,3B
Juan Lagares,LAA,OF
Robbie Grossman,DET,OF
Nolan Arenado,STL,3B
Marcell Ozuna,ATL,OF
Robinson Chirinos,CHC,C
Nick Castellanos,CIN,OF
James McCann,NYM,C
Tucker Barnhart,CIN,C
Chris Owings,COL,2B
Joe Panik,MIA,3B
Ehire Adrianza,ATL,OF
Jonathan Villar,NYM,3B
Josh Bell,WAS,1B
Wil Myers,SDP,OF
George Springer,TOR,OF
Cesar Hernandez,CLE,2B
Gary Sanchez,NYY,C
Curt Casali,SFG,C
Jake Marisnick,CHC,OF
Brad Miller,PHI,3B
Mark Canha,OAK,OF
Christian Yelich,MIL,OF
Kolten Wong,MIL,2B
Kevin Kiermaier,TBR,OF
Max Stassi,LAA,C
Ryan LaMarre,NYY,OF
Gregory Polanco,PIT,OF
Wilmer Flores,SFG,3B
Abraham Almonte,ATL,OF
Kyle Higashioka,NYY,C
Roberto Perez,CLE,C
Randal Grichuk,TOR,OF
Brandon Drury,NYM,1B
Mike Freeman,CIN,SS
Jace Peterson,MIL,2B
Rougned Odor,NYY,2B
Nick Ahmed,ARI,SS
Phil Gosselin,LAA,OF
Christian Vazquez,BOS,C
Billy Hamilton,CHW,OF
Eugenio Suarez,CIN,3B
Jonathan Schoop,DET,1B
Marcus Semien,TOR,2B
Danny Santana,BOS,OF
Whit Merrifield,KCR,2B
Ronald Torreyes,PHI,3B
Ketel Marte,ARI,OF
Michael Perez,PIT,C
Max Kepler,MIN,OF
Brandon Nimmo,NYM,OF
Javier Baez,CHC,SS
Jeimer Candelario,DET,3B
Jorge Polanco,MIN,2B
Niko Goodrum,DET,OF
Mike Zunino,TBR,C
Corey Dickerson,TOR,OF
Xander Bogaerts,BOS,SS
Jesus Aguilar,MIA,1B
Eddie Rosario,CLE,OF
Austin Hedges,CLE,C
Francisco Lindor,NYM,SS
Kevin Plawecki,BOS,C
Adam Duvall,MIA,OF
Kevan Smith,ATL,C
Phillip Evans,PIT,OF
Gio Urshela,NYY,3B
Jake Lamb,CHW,OF
Travis Jankowski,PHI,OF
Jorge Soler,KCR,OF
Miguel Rojas,MIA,SS
Joc Pederson,ATL,OF
