Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2766590066,bfd77,0,147.1,P Adam Wainwright P Jordan Lyles 1B Vladimir Guerrero Jr. SS Tim Anderson 3B Nolan Arenado OF Teoscar Hernández OF Max Kepler 2B Leury García OF Kiké Hernández C Tres Barrera,,Lance McCullers Jr.,P,68.26%,13.85
2,2766137098,TheHumanCespedes,0,144.9,P Julio Urías P Jordan Lyles 1B Vladimir Guerrero Jr. SS Xander Bogaerts OF George Springer OF J.D. Martinez 3B Wilmer Flores 2B Kiké Hernández C Zack Collins OF Hunter Renfroe,,Dylan Cease,P,33.51%,9.85
3,2766338839,KellyKrobar,0,134.75,P Lance McCullers Jr. P Matt Manning OF Nelson Cruz SS Tim Anderson C J.T. Realmuto 3B Josh Donaldson 2B Jorge Polanco 1B Miguel Sanó OF Max Kepler OF Danny Santana,,Adam Wainwright,P,30.32%,19.55
4,2766619694,ahertz33,0,132.8,P Julio Urías P Kyle Hendricks 1B Vladimir Guerrero Jr. SS Bo Bichette OF Teoscar Hernández OF Robbie Grossman 2B Kiké Hernández OF Akil Baddoo C Danny Jansen 3B Josh Harrison,,Bryce Harper,OF,28.90%,11
5,2766466496,status78,0,131.7,P Lance McCullers Jr. P Dylan Cease 1B Vladimir Guerrero Jr. SS Carlos Correa OF J.D. Martinez 3B Wilmer Flores 2B Kiké Hernández C Curt Casali OF Greg Allen OF Estevan Florial,,Josh Harrison,3B,28.37%,7
6,2766527048,tfbrown,0,129.75,P Lance McCullers Jr. P Matt Manning 1B Vladimir Guerrero Jr. OF Juan Soto 2B Jose Altuve SS Bo Bichette OF George Springer OF Teoscar Hernández 3B Josh Harrison C Tres Barrera,,Vladimir Guerrero Jr.,1B,25.89%,20
7,2766501473,playahata1,0,128.2,P Julio Urías P Dylan Cease 1B Vladimir Guerrero Jr. OF Bryce Harper 2B Jose Altuve OF Giancarlo Stanton SS Gleyber Torres 3B Josh Harrison OF Greg Allen C Tres Barrera,,Juan Soto,OF,23.23%,10
8,2766472049,CatCoulter,0,127.2,P Logan Webb P Jordan Lyles 1B Vladimir Guerrero Jr. OF Nelson Cruz 3B Josh Donaldson 2B Jorge Polanco OF Max Kepler OF Trevor Larnach SS Amed Rosario C Tres Barrera,,Jean Segura,2B,22.87%,16
9,2766555377,beckertad,0,126.85,P Julio Urías P Erick Fedde SS Trea Turner 2B Jose Altuve C J.T. Realmuto 1B Anthony Rizzo OF Robbie Grossman OF Kiké Hernández OF Harrison Bader 3B Brock Holt,,Robbie Ray,P,22.70%,7.65
10,2766596869,Shpielers_United,0,126.2,P Lance McCullers Jr. P Julio Urías OF Juan Soto 3B Yoán Moncada OF J.D. Martinez SS Didi Gregorius 2B Kiké Hernández OF Hunter Renfroe C Christian Vázquez 1B Bobby Dalbec,,Andrew McCutchen,OF,22.16%,7
11,2766518079,DynastyPlaya,0,125.5,P Lance McCullers Jr. P Robbie Ray 1B Vladimir Guerrero Jr. SS Tim Anderson OF George Springer OF Teoscar Hernández OF Akil Baddoo 3B Jake Burger C Tres Barrera 2B Michael Chavis,,J.T. Realmuto,C,21.99%,4
12,2766560183,mjc08bc,0,125.4,P Lance McCullers Jr. P Adam Wainwright 1B Vladimir Guerrero Jr. SS Xander Bogaerts OF George Springer 3B Cavan Biggio OF Kiké Hernández OF Hunter Renfroe C Christian Vázquez 2B Michael Chavis,,Michael Brantley,OF,20.92%,0
13,2766586236,phillybooyea,0,125.05,P Adam Wainwright P Erick Fedde 1B Vladimir Guerrero Jr. 3B Josh Donaldson OF George Springer C Gary Sánchez SS Didi Gregorius 2B Rougned Odor OF Andrew McCutchen OF Estevan Florial,,Tres Barrera,C,20.74%,3
